Date,Open,High,Low,Close,Adj Close,Volume
12/18/2018,36.337502,37.5825,36.0625,36.735001,36.449665,56437200
12/19/2018,36.395,36.935001,34.107498,34.627499,34.358528,74536400
12/20/2018,34.5425,35.450001,33.172501,33.775002,33.512653,74958800
12/21/2018,34.0425,34.375,32.115002,32.392502,32.140892,86374000
12/24/2018,31.622499,32.494999,31.125,31.77,31.52323,46384000
12/26/2018,32.235001,33.285,31.115,33.275002,33.016544,69510000
12/27/2018,32.747501,33.095001,31.295,32.7925,32.537792,63704400
12/28/2018,33,34.3475,32.577499,33.412498,33.152973,62872800
12/31/2018,33.849998,34.177502,33.064999,33.375,33.115761,46514000
1/2/2019,32.66,34.619999,32.512501,34.055,33.790478,50875200
1/3/2019,33.447498,33.790001,31.922501,31.997499,31.748955,70555200
1/4/2019,32.735001,34.432499,32.424999,34.047501,33.783035,58562000
1/7/2019,34.625,36.2225,34.107498,35.849998,35.571545,70916000
1/8/2019,36.672501,36.695,34.224998,34.9575,34.685966,78601600
1/9/2019,35.474998,36.122501,34.965,35.645,35.368134,61726000
1/10/2019,35.450001,36.395,34.84,36.307499,36.025475,52315600
1/11/2019,36.0825,37.4375,35.802502,37.2075,36.918488,87476400
1/14/2019,36.68,37.865002,36.442501,37.610001,37.317863,73016800
1/15/2019,37.939999,38.337502,37.282501,37.467499,37.176468,61701200
1/16/2019,37.7425,38.075001,37.154999,37.209999,36.920963,47010400
1/17/2019,36.877499,38.3325,36.602501,37.93,37.63538,49343600
1/18/2019,38.432499,39.494999,37.912498,39.232498,38.927757,65133600
1/22/2019,38.927502,39.044998,36.887501,37.192501,36.90361,66155200
1/23/2019,37.75,38.645,37.0075,37.322498,37.032593,59102000
1/24/2019,38.174999,39.637501,38.127499,39.459999,39.153492,70897200
1/25/2019,38.860001,40.220001,37.825001,40.037498,39.726498,115457200
1/28/2019,34.137501,35.41,32.75,34.502499,34.234497,251152800
1/29/2019,34.037498,34.525002,32.752499,32.900002,32.644451,115393200
1/30/2019,33.6675,34.4925,32.865002,34.3475,34.0807,97422800
1/31/2019,34.314999,36.297501,34.095001,35.9375,35.658348,84285200
2/1/2019,36.125,36.697498,35.645,36.182499,35.901455,62504800
2/4/2019,36.342499,37.669998,36.119999,37.294998,37.005299,52859200
2/5/2019,37.415001,37.857498,37.075001,37.487499,37.196312,54242400
2/6/2019,37.822498,38.900002,37.767502,38.25,37.952885,70246400
2/7/2019,37.782501,37.805,36.422501,36.855,36.568729,63712000
2/8/2019,36.177502,37.150002,36.032501,37.0425,36.754768,46160400
2/11/2019,36.5975,37.145,36.125,36.612499,36.328106,49518000
2/12/2019,37,37.950001,36.855,37.7925,37.498943,59106000
2/13/2019,38.09,38.9575,37.952499,38.220001,37.92313,60537200
2/14/2019,38.209999,38.9175,37.775002,38.6325,38.332424,82726400
2/15/2019,40.737499,40.967499,39.105,39.334999,39.029457,151674800
2/19/2019,39.227501,39.9725,39.035,39.16,38.855824,55189200
2/20/2019,39.455002,40.314999,39.342499,39.637501,39.329601,54098800
2/21/2019,39.764999,40.012501,38.794998,38.942501,38.640018,44854800
2/22/2019,39.465,39.987499,39.327499,39.797501,39.488377,40174000
2/25/2019,40.639999,41.32,39.584999,39.672501,39.364346,65602000
2/26/2019,39.625,40.189999,38.9375,39.275002,38.96994,48846400
2/27/2019,39.130001,39.397499,38.2775,38.852501,38.550716,50025600
2/28/2019,38.75,38.974998,38.34,38.564999,38.304886,32494400
3/1/2019,39.067501,39.537498,38.48,39.112499,38.84869,35718800
3/4/2019,39.5,39.73,38.625,39.195,38.930634,40999200
3/5/2019,39.037498,39.514999,38.490002,39.130001,38.866077,36292400
3/6/2019,39.040001,39.125,37.985001,38.012501,37.756115,40352400
3/7/2019,37.775002,37.872501,36.849998,37.314999,37.063313,45010400
3/8/2019,36.415001,37.767502,36.200001,37.66,37.405991,42241600
3/11/2019,37.897499,40.514999,37.422501,40.285,40.013294,85972800
3/12/2019,40.564999,41.0975,39.797501,40.630001,40.355957,57957600
3/13/2019,41.0075,42.450001,40.932499,42.154999,41.87067,76890000
3/14/2019,42.247501,42.3675,41.3125,41.389999,41.110836,51938400
3/15/2019,41.825001,42.8825,41.790001,42.452499,42.166164,66148400
3/18/2019,42.77,43.3125,41.965,42.237499,41.95261,48699200
3/19/2019,43.189999,44.375,43.02,43.927502,43.631218,85497200
3/20/2019,44.220001,44.7575,43.25,43.599998,43.305923,71914800
3/21/2019,43.8325,46.25,43.782501,45.985001,45.674835,82431200
3/22/2019,45.709999,46.200001,44.235001,44.375,44.075695,74764400
3/25/2019,43.965,44.612499,42.7775,43.445,43.151966,52521200
3/26/2019,44.872501,45.4375,43.650002,44.217499,43.919258,70350800
3/27/2019,44.474998,44.942501,43.424999,44.125,43.827381,47437200
3/28/2019,44.387501,44.974998,43.7775,44.3125,44.013615,48026400
3/29/2019,44.985001,45.134998,44.477501,44.889999,44.587215,45689600
4/1/2019,45.814999,45.875,45.092499,45.57,45.262634,48382400
4/2/2019,45.8125,46.197498,45.380001,45.75,45.441422,44092000
4/3/2019,46.25,47.75,46.200001,47.154999,46.836937,78350400
4/4/2019,47,47.4925,46.432499,47.064999,46.747543,45737600
4/5/2019,47.5,47.912498,47.1325,47.737499,47.415516,48174400
4/8/2019,47.43,48.200001,47.1875,47.947498,47.624096,42419200
4/9/2019,47.610001,47.7225,46.889999,47.314999,46.995861,43997200
4/10/2019,47.307499,48.285,47.262501,48.025002,47.70108,44477200
4/11/2019,48.049999,48.3675,47.387501,47.884998,47.562019,37460000
4/12/2019,48.275002,48.314999,47.415001,47.502499,47.182102,47170800
4/15/2019,47.424999,47.474998,45.775002,46.174999,45.863552,44009200
4/16/2019,46.57,47.2425,46.240002,47.052502,46.735142,39496400
4/17/2019,47.404999,47.615002,46.5975,46.822498,46.506683,35100400
4/18/2019,46.889999,47.232498,46.294998,46.575001,46.26086,38098800
4/22/2019,46.337502,47.275002,46.02,47.1175,46.799702,27993600
4/23/2019,47.25,47.982498,47.1525,47.6675,47.345989,34685600
4/24/2019,47.772499,48.202499,47.16,47.7925,47.470146,31820400
4/25/2019,47.387501,47.612499,45.924999,46.727501,46.412331,49929600
4/26/2019,45.177502,45.2225,43.325001,44.522499,44.222206,86898800
4/29/2019,44.602501,45.112499,43.875,44.8325,44.530109,39192000
4/30/2019,44.5075,45.5075,44.314999,45.25,44.944786,36292000
5/1/2019,45.7775,46.202499,45.115002,45.1175,44.81319,35428000
5/2/2019,45.215,46.217499,44.779999,45.797501,45.488605,39468400
5/3/2019,45.8825,45.982498,45.1325,45.752499,45.443905,33682400
5/6/2019,43.875,45.084999,43.5,44.962502,44.659229,42217600
5/7/2019,44.474998,44.474998,42.7925,43.2775,42.985603,55522000
5/8/2019,43,44.287498,42.880001,43.48,43.186737,41916800
